# contains data for building a weighted social digraph
# lines beginning with '#' should be ignored
# begin vertex data
# format: Name,Age,Height,Weight
Jayme Buchholz,15,154.94,150.0
Nicoleta Kita,22,172.5,177.3
Greer Hatheway,45,178.77,201.0
Babirye Torres,34,161.1,163.0
Fabien Montagne,25,190.15,213.22
Gore Hardwick,5,91.44,85.5
Tina Capello,12,135.636,115.0
Raghu Pellegrino,58,180.34,275.15
Regina Wright,40,180.34,145.5
Myles Hannigan,37,193.04,181.22
Mesut Nigro,19,189.0,201.11
Iolyn Palafox,57,144.1,169.5
Boronia Gospeed,68,164.7,124.7
Perdita Akridge,70,152.4,116.6
Berwyn Wickline,31,158.6,204.5
Shunnar Dutra,64,154.1,134.5
Evonne Briones,32,153.8,139.4
Alejandro Mcclelland,31,151.2,181.5
Paula Munn,35,164.3,118.1
Flavian Burnley,27,143.5,176.6
Narendra Neel,44,161.2,184.6
Molly Zhou,62,152.6,165.9
# begin edge data
# format: sourceID,destID,weight
EDGES:
11,13,23.620625704026143
2,18,28.287813673760176
9,4,63.39069950244118
19,21,59.99939550050133
6,13,94.66600702768632
12,4,49.76925258775924
19,6,54.62725933688043
0,1,96.43526770232913
0,8,77.2831988726844
5,1,86.986834462068
16,6,73.79324018085512
13,17,49.81243560297459
10,0,40.61755481977227
2,10,18.855999214352003
10,3,5.1068363762780455
1,14,35.580743851773875
17,16,73.74143085880365
20,6,98.2521305696539
7,4,49.89324690176535
0,19,28.29566960468991
13,11,58.09162145454605
6,21,13.232119437586054
8,14,11.10444238511592
16,14,93.13644629492019
14,2,37.38557049622177
7,16,92.63098414150252
20,11,5.0732916763777
3,10,64.25066987878239
3,4,71.02804157859835
7,13,81.1515927846173
12,6,80.5025769389055
19,14,52.167994087813184
7,1,46.25079060745484
9,17,39.85631889952322
17,12,0.5646307066252354
3,1,54.9948754071387
4,16,88.38629065434553
14,12,91.96905227403447
21,15,31.18054714552566
1,0,48.34907882317575
8,4,2.403022607419736
15,4,41.37099678102552
6,20,2.2598574337009625
13,12,93.21829856563737
10,18,71.56611210210745
13,14,89.30620366037293
14,1,35.80037762547986
4,12,1.6859935001317994
16,17,96.41995797340698
15,0,41.600702095804344
4,8,5.276273649412788
18,3,85.07397179109999
13,4,55.82863819061695
8,21,25.79339498225055
16,9,23.02522747987816
3,11,91.20742789777886
6,0,70.40664914988345
21,6,8.490057364640169
1,13,75.85426555153227
17,5,97.87338423522169
7,3,54.40736196968285
15,20,32.04044196098602
7,18,53.88696703793164
20,9,70.81487105719742
19,9,85.99591047708086
17,0,29.106158110522284
18,9,70.96947980956804
6,12,36.43236320261304
16,0,6.095332574700474
12,16,71.49806243099738
16,10,63.43693808711793
0,9,27.152482517636813
2,1,5.070618554429562
21,9,94.41144831490917
8,10,95.92014018118604
13,10,76.46810755379929
20,21,60.44202426805989
0,14,29.071125267752983
14,11,57.63562504033203
14,0,23.486353015837203
11,2,43.6036612693129
5,20,37.40795672062882
21,7,69.1024804401066
3,5,67.66028313855568
4,21,2.590827008612917
10,17,15.028271528469494
5,19,27.95633303443612
20,7,79.74222718960678
14,17,20.8419388664391
18,2,99.42740577717225
15,21,49.91859294466583
21,20,21.182775959256585
3,2,74.45810190244102
13,1,64.41490259003966
19,10,26.479672739907667
13,15,40.27069694733568
20,2,21.50587046541813
7,0,55.48414712795936
5,2,62.2065109315315
15,12,57.69130966538748
20,18,34.83383868944423
21,18,69.34427266427633
10,9,48.66076569080495
4,2,76.96348804723543
6,7,32.695849918943466
9,7,84.24782478810809
4,7,36.28476966604822
1,4,57.29743554380773
20,0,79.64238124527648
11,21,34.817403221268016
9,6,54.32657476790976
9,21,95.55749328954009
1,16,55.34728100817353
15,2,96.78126325838609
6,16,79.8911500297954
0,17,42.76320789292603
0,2,55.79841503593471
17,6,46.279832443657256
13,0,53.74647380472454
3,8,73.15082716535812
13,5,21.37153563740768
20,13,21.861075757323412
17,3,43.87091366133071
14,5,34.30113318749839
1,9,77.55147528489472
9,12,59.517842576866386
9,16,86.97785561588987
0,7,89.00033092103845
14,3,18.906158248140613
13,20,71.72679744725488
6,19,52.27374301165687
15,19,41.89679276968914
19,3,95.79579037028093
19,18,29.786612865185525
0,11,67.69582846481478
15,3,77.55840209851934
2,13,55.469355081598515
15,1,80.94720879599339
1,21,96.67046112780376
12,3,88.23717728616155
20,19,4.029711686979276
16,13,46.78618072110006
10,16,88.31147983029001
1,12,23.804420454763687
3,9,96.92064052952215
13,2,9.43754219090005
10,12,37.115650781046625
12,10,8.51565672466652
5,17,45.747122205838444
20,3,48.27629429829391
12,17,97.51160175697615
3,16,86.91748390135902
14,13,25.55931192090617
21,8,85.33122001853197
12,8,96.87197687577265
1,7,13.53834449155562
2,14,70.35638387604959
0,10,80.99873820002502
4,6,29.407593447370537
13,9,8.779523196242767
8,12,10.144962520982014
15,8,83.94306523676333
11,18,81.91043704966926
2,4,6.5143757795759205
15,9,82.12452074096446
8,9,2.8424194137120495
5,7,75.04895933888552
9,2,96.48757257515027
8,18,45.855763184417164
0,13,16.131753900738676
19,16,58.00704141939037
3,18,76.09099946051941
1,11,84.70175179482163
9,18,37.158800902386645
4,10,65.6318496918392
21,5,92.3715858716451
15,17,45.6947527479168
16,3,27.864935607264908
0,15,16.17918627527083
5,9,37.66399971706688
14,8,43.1869553130076
13,21,62.828159132332516
11,7,1.1519438662820458
19,15,68.11272667040245
18,17,2.9492179424382536
12,15,46.17573646083781
18,8,17.352391097893406
4,5,53.818386326814036
7,10,48.1262788359346
15,10,85.4807865114287
5,15,50.298084440066205
18,4,13.345934725612684
8,0,12.979067893652674
6,17,14.29845570656184
8,6,94.82494315950541
17,19,1.5822161098341114
9,3,50.05531065836033
3,19,31.41220392354189
21,2,28.589408572721464
8,11,84.43866072392221
11,19,60.78570148228577
15,16,52.829096204615254
4,11,72.72219658696199
16,5,69.10203050141742
14,4,64.98325450364342
3,21,87.00434542424401
3,6,0.5428609124606076
5,10,26.075920185972723
16,20,18.452164138618134
19,1,21.934149553413317
10,19,82.32052053206577
12,14,20.15626802388737
3,14,94.90468154181039
6,10,57.78221628158416
16,2,72.56432007773115
10,15,1.799685202670731
10,2,97.1522206686912
2,9,88.52489100629131
6,9,73.89899439445321
18,20,88.04136830012213
21,3,52.57301258732099
5,0,98.18375582479729
9,0,83.54097658961203
7,5,84.27370368340173
5,3,72.75523737983166
6,4,44.475311399129765
16,11,64.1453164073366
20,4,80.88163324171012
21,1,52.82558574166877
13,19,90.56016605171153
10,13,49.523553219811724
19,0,6.093396746408953
3,20,30.658239335273517
21,4,59.02918326130838
12,5,92.4577775056589
0,4,68.57762193101388
5,6,0.5360687396165131
13,18,41.85372828170396
10,1,42.471803813166474
7,11,21.367902341669442
16,21,9.04847912204757
16,1,21.533712092881473
11,16,40.88118303761499
